Div,Chr 1 Alt 1,Chr 1 Alt 2,deviation Chr 1,,Chr 2 Alt 1,Chr 2 Alt 2,deviation Chr 2,,Chr 3 Alt 1,Chr 3 Alt 2,deviation Chr 3,,Chr 4 Alt 1,Chr 4 Alt 2,deviation Chr 4,,Chr 5 Alt 1,Chr 5 Alt 2,deviation Chr 5,,Chr 6 Alt 1,Chr 6 Alt 2,deviation Chr 6,,Chr 7 Alt 1,Chr 7 Alt 2,deviation Chr 7,,Chr 8 Alt 1,Chr 8 Alt 2,deviation Chr 8,,Chr 9 Alt 1,Chr 9 Alt 2,deviation Chr 9
0,0.978,1.177,-0.199,,0.429,1.260,-0.831,,0.329,0.345,-0.017,,0.870,0.284,0.586,,0.731,0.221,0.510,,0.198,0.626,-0.428,,0.226,0.211,0.015,,0.192,0.219,-0.027,,0.794,0.622,0.172
1,0.495,0.552,-0.057,,0.480,0.571,-0.091,,0.506,0.357,0.149,,0.593,0.410,0.184,,0.438,0.297,0.141,,0.184,0.245,-0.061,,0.196,0.221,-0.025,,0.222,0.160,0.062,,0.413,0.302,0.111
2,0.831,0.972,-0.141,,0.862,1.172,-0.310,,0.766,0.685,0.082,,0.828,0.827,0.002,,0.918,0.563,0.355,,0.270,0.680,-0.409,,0.386,0.422,-0.036,,0.346,0.320,0.026,,0.742,0.793,-0.051
3,1.176,1.275,-0.098,,1.193,1.737,-0.545,,1.284,0.948,0.336,,1.192,0.830,0.363,,0.898,0.613,0.285,,0.372,0.665,-0.293,,0.502,0.485,0.017,,0.482,0.523,-0.041,,1.063,1.014,0.048
4,1.415,1.437,-0.022,,1.240,1.426,-0.185,,1.476,1.088,0.388,,1.414,1.099,0.315,,1.058,0.901,0.158,,0.405,0.649,-0.245,,0.620,0.543,0.077,,0.548,0.472,0.076,,1.088,0.898,0.190
5,1.767,1.749,0.018,,1.467,1.555,-0.087,,1.667,1.350,0.316,,1.451,1.243,0.208,,0.993,0.919,0.074,,0.293,0.672,-0.379,,0.654,0.617,0.037,,0.587,0.502,0.085,,1.095,1.144,-0.049
6,2.007,1.877,0.131,,1.574,1.355,0.220,,1.777,1.300,0.477,,1.638,1.270,0.368,,1.093,1.002,0.091,,0.448,0.808,-0.360,,0.689,0.629,0.059,,0.487,0.420,0.067,,1.083,1.094,-0.010
7,1.756,2.042,-0.286,,1.526,1.264,0.263,,1.930,1.469,0.461,,1.596,1.526,0.070,,1.138,1.272,-0.133,,0.372,0.595,-0.223,,0.667,0.720,-0.053,,0.514,0.688,-0.174,,1.171,1.189,-0.018
8,1.704,2.174,-0.470,,1.407,1.634,-0.227,,1.410,1.422,-0.012,,1.402,1.537,-0.135,,1.046,1.216,-0.170,,0.478,0.675,-0.197,,0.660,0.790,-0.129,,0.724,0.697,0.027,,0.994,0.960,0.035
9,1.575,1.768,-0.192,,1.328,1.430,-0.103,,1.168,1.744,-0.575,,1.347,1.569,-0.222,,1.020,1.105,-0.085,,0.360,0.613,-0.253,,0.642,0.755,-0.113,,0.654,0.600,0.054,,1.061,1.121,-0.060
10,1.308,1.528,-0.220,,1.489,1.442,0.047,,1.150,1.350,-0.200,,1.117,1.561,-0.444,,0.946,1.105,-0.158,,0.435,0.709,-0.274,,0.645,0.712,-0.067,,0.608,0.596,0.012,,0.967,1.058,-0.091
11,1.374,1.373,0.000,,1.219,1.207,0.012,,1.253,1.222,0.031,,1.123,1.334,-0.210,,0.990,0.976,0.014,,0.407,0.575,-0.167,,0.592,0.715,-0.124,,0.538,0.562,-0.024,,0.765,0.851,-0.087
12,1.007,1.308,-0.301,,1.017,1.278,-0.261,,1.250,1.147,0.103,,1.309,1.163,0.146,,0.868,0.903,-0.035,,0.447,0.512,-0.066,,0.572,0.676,-0.104,,0.545,0.659,-0.114,,0.990,0.817,0.174
13,1.212,1.100,0.112,,1.321,1.235,0.086,,0.984,0.961,0.023,,1.092,1.129,-0.037,,0.870,0.981,-0.110,,0.515,0.661,-0.146,,0.642,0.688,-0.046,,0.540,0.586,-0.047,,1.503,0.912,0.591
14,1.265,1.149,0.116,,1.342,1.100,0.242,,1.013,1.135,-0.122,,1.011,1.148,-0.137,,0.806,0.895,-0.088,,0.481,0.582,-0.101,,0.706,0.683,0.023,,0.614,0.617,-0.002,,1.012,0.848,0.164
15,1.158,1.111,0.047,,1.243,1.029,0.214,,0.981,0.916,0.065,,1.139,1.186,-0.047,,0.897,0.816,0.081,,0.493,0.556,-0.063,,0.845,0.811,0.034,,0.607,0.624,-0.016,,0.936,0.872,0.064
16,1.060,1.037,0.023,,1.223,1.044,0.179,,0.939,0.926,0.013,,1.455,0.941,0.514,,0.910,0.898,0.012,,0.529,0.634,-0.105,,0.769,0.824,-0.055,,0.623,0.574,0.049,,0.992,0.914,0.078
17,1.138,1.212,-0.074,,1.196,0.966,0.230,,1.050,0.859,0.190,,1.386,0.969,0.416,,0.928,0.881,0.047,,0.632,0.804,-0.172,,0.902,0.825,0.077,,0.771,0.713,0.058,,0.957,0.897,0.060
18,1.137,0.978,0.159,,1.045,1.079,-0.034,,1.076,0.868,0.208,,1.100,1.035,0.064,,0.795,1.019,-0.224,,0.662,0.794,-0.132,,0.996,0.858,0.138,,0.709,0.782,-0.073,,0.986,0.939,0.047
19,1.033,1.103,-0.070,,1.127,1.187,-0.060,,0.996,0.868,0.127,,0.938,1.091,-0.153,,0.971,0.828,0.143,,0.676,0.729,-0.053,,0.980,0.940,0.040,,0.780,0.659,0.121,,0.874,0.926,-0.053
20,1.051,1.043,0.008,,1.159,1.066,0.093,,0.896,0.893,0.004,,1.092,1.160,-0.067,,0.973,0.856,0.117,,0.649,0.723,-0.074,,0.901,0.884,0.018,,0.656,0.690,-0.034,,0.854,0.913,-0.059
21,1.071,0.986,0.085,,0.992,0.995,-0.003,,0.827,0.992,-0.164,,1.154,1.162,-0.009,,0.926,0.844,0.082,,0.646,0.745,-0.099,,0.901,0.852,0.048,,0.658,0.712,-0.055,,0.903,0.951,-0.047
22,0.973,1.126,-0.152,,1.164,1.017,0.146,,0.841,0.789,0.052,,1.170,1.030,0.141,,1.052,0.854,0.198,,0.620,0.728,-0.108,,0.856,0.810,0.046,,0.589,0.646,-0.057,,0.983,1.077,-0.093
23,0.802,0.803,-0.001,,1.167,0.839,0.328,,0.684,0.827,-0.143,,1.127,1.054,0.073,,0.976,0.877,0.099,,0.554,0.629,-0.075,,0.652,0.772,-0.120,,0.621,0.598,0.023,,0.727,0.956,-0.230
24,0.635,0.855,-0.220,,0.725,0.915,-0.189,,0.621,0.837,-0.216,,0.858,0.967,-0.109,,0.933,0.756,0.177,,0.368,0.633,-0.265,,0.642,0.708,-0.066,,0.518,0.550,-0.032,,0.682,0.793,-0.111
25,0.506,0.691,-0.184,,0.639,0.854,-0.216,,0.490,0.622,-0.132,,0.842,0.760,0.082,,0.621,0.635,-0.014,,0.374,0.496,-0.122,,0.595,0.526,0.068,,0.408,0.515,-0.107,,0.763,0.689,0.073
26,0.556,0.621,-0.064,,0.545,0.656,-0.111,,0.492,0.476,0.016,,0.756,0.716,0.040,,0.486,0.468,0.018,,0.269,0.360,-0.090,,0.355,0.521,-0.166,,0.376,0.420,-0.043,,0.607,0.528,0.079
27,0.450,0.414,0.037,,0.589,0.561,0.028,,0.401,0.509,-0.108,,0.616,0.770,-0.154,,0.463,0.601,-0.139,,0.158,0.282,-0.124,,0.355,0.325,0.029,,0.248,0.317,-0.068,,0.507,0.403,0.103
28,0.362,0.353,0.009,,0.616,0.475,0.140,,0.375,0.343,0.032,,0.645,0.670,-0.025,,0.457,0.388,0.070,,0.198,0.188,0.010,,0.277,0.251,0.026,,0.265,0.178,0.087,,0.364,0.320,0.044
29,0.347,0.463,-0.116,,0.369,0.398,-0.029,,0.295,0.194,0.101,,0.446,0.436,0.010,,0.406,0.400,0.005,,0.053,0.195,-0.142,,0.190,0.202,-0.012,,0.174,0.156,0.018,,0.297,0.299,-0.002
30,0.445,0.276,0.169,,0.260,0.251,0.009,,0.197,0.206,-0.009,,0.305,0.374,-0.069,,0.232,0.334,-0.102,,0.042,0.229,-0.187,,0.133,0.159,-0.026,,0.148,0.157,-0.008,,0.269,0.258,0.010
31,0.201,0.214,-0.013,,0.206,0.242,-0.036,,0.134,0.137,-0.002,,0.290,0.224,0.066,,0.200,0.205,-0.006,,0.084,0.076,0.008,,0.129,0.130,0.000,,0.086,0.092,-0.006,,0.170,0.129,0.041
32,0.191,0.090,0.102,,0.131,0.116,0.015,,0.088,0.107,-0.019,,0.165,0.184,-0.020,,0.107,0.130,-0.023,,0.083,0.031,0.052,,0.046,0.091,-0.044,,0.053,0.076,-0.023,,0.131,0.098,0.033
33,0.085,0.100,-0.015,,0.047,0.051,-0.004,,0.031,0.033,-0.002,,0.111,0.091,0.020,,0.061,0.057,0.004,,0.013,0.026,-0.013,,0.041,0.030,0.011,,0.029,0.030,-0.001,,0.049,0.098,-0.050
34,0.041,0.050,-0.010,,0.043,0.028,0.015,,0.022,0.023,-0.001,,0.059,0.083,-0.024,,0.021,0.023,-0.002,,0,0.023,-0.023,,0.027,0.008,0.020,,0.009,0.005,0.004,,0.038,0.038,0.000
35,0.006,0.013,-0.007,,0.011,0.009,0.002,,0.002,0.018,-0.016,,0.008,0.015,-0.007,,0.007,0.001,0.006,,0,0.001,-0.001,,0.001,0.005,-0.004,,0.001,0.005,-0.004,,0.018,0.002,0.016
36,0.003,0.005,-0.002,,0.001,0.010,-0.008,,0.003,0.004,-0.002,,0.000,0.015,-0.015,,0.005,0.002,0.004,,0,0.002,-0.002,,0.002,0.002,-0.001,,0,0.002,-0.002,,0.001,0.002,-0.001
37,0,0.005,-0.005,,0,0,0,,0,0,0,,0,0,0,,0,0.001,-0.001,,0,0,0,,0,0.001,-0.001,,0,0,0,,0.001,0.001,0.001
38,0,0.005,-0.005,,0,0,0,,0,0,0,,0,0,0,,0,0.002,-0.002,,0,0,0,,0,0,0,,0,0,0,,0,0,0
39,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
40,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
